SN 2008fp 1747.81   17.219 012 15.124 006 14.520 006 14.850 006 15.755 008 14.652 006
SN 2008fp 1749.80   17.551 014 15.292 006 14.548 005 14.802 006 15.984 006 14.751 005
SN 2008fp 1751.78   17.875 058 15.463 008 14.593 006 14.752 007 16.192 022 14.851 012
SN 2008fp 1751.78   17.712 043                                                       
SN 2008fp 1753.87   18.100 020 15.648 006 14.598 005 14.677 006 16.404 008 14.959 005
SN 2008fp 1759.84   18.726 021 16.151 008 14.752 007 14.578 008 16.972 010 15.276 007
SN 2008fp 1760.80   18.779 020 16.227 007 14.792 007 14.597 007 17.033 010 15.328 007
SN 2008fp 1765.82   19.066 021 16.548 006 15.129 004 14.882 004 17.314 007 15.652 005
SN 2008fp 1768.81   19.108 021 16.672 008 15.312 008 15.088 008 17.455 010 15.806 008
SN 2008fp 1770.79   19.155 021 16.751 006 15.407 004 15.201 004 17.519 008 15.892 005
SN 2008fp 1779.82   19.413 025 16.964 008 15.783 008 15.636 008 17.702 008 16.172 008
SN 2008fp 1781.82   19.426 029 16.993 007 15.849 008 15.720 008 17.726 008 16.227 008
SN 2008fp 1783.79   19.487 037 17.029 008 15.922 007 15.796 008 17.762 010 16.296 008
SN 2008fp 1790.82   19.577 024 17.158 008 16.161 008 16.075 008 17.870 010 16.479 008
SN 2008fp 1792.76   19.643 021 17.181 010 16.224 008 16.158 010 17.891 012 16.523 010
SN 2008fp 1795.75   19.676 024 17.241 010 16.316 012 16.289 012 17.923 010 16.603 010
SN 2008fp 1797.85              17.280 007            16.349 008 17.940 008 16.659 008
SN 2008fp 1803.81   19.851 025 17.388 007 16.580 005 16.567 006 18.041 008 16.814 008
SN 2008fp 1809.72   19.954 034 17.495 008 16.769 008 16.773 008 18.127 010 16.975 008
SN 2008fp 1813.81              17.540 010 16.894 008 16.918 008 18.186 014 17.069 008
SN 2008fp 1820.71   20.106 049 17.682 010 17.101 010 17.149 010 18.280 012 17.236 010
SN 2008gp 1768.74                         17.898 012 18.117 014 18.008 010 17.860 012
SN 2008gp 1770.74                                               17.566 008 17.449 008
SN 2008gp 1772.77   17.552 012 17.103 007 17.181 007 17.406 010 17.251 008 17.151 008
SN 2008gp 1776.71   17.289 010 16.797 006 16.900 006 17.279 008 16.957 007 16.874 006
SN 2008gp 1779.76   17.327 012 16.754 008 16.801 010 17.353 012 16.929 010 16.806 010
SN 2008gp 1781.74   17.461 014 16.773 010 16.813 010 17.408 014 16.961 010 16.823 010
SN 2008gp 1783.73   17.683 021 16.855 010 16.826 010 17.412 018 17.025 010 16.862 012
SN 2008gp 1786.83              16.997 008 16.937 008 17.547 012 17.190 010 16.926 010
SN 2008gp 1790.72   18.493 017 17.247 008 17.171 010 17.898 012 17.529 008 17.139 008
SN 2008gp 1792.68              17.425 008 17.302 008 18.029 012 17.753 010 17.254 008
SN 2008gp 1793.69                         17.356 008 18.013 014 17.869 010 17.324 008
SN 2008gp 1795.72                         17.425 012 18.057 017 18.134 012 17.461 012
SN 2008gp 1801.76   20.059 048 18.346 008 17.583 008 17.939 014 18.855 016 17.844 012
SN 2008gp 1802.71   20.139 044 18.429 010 17.596 008 17.944 012 18.923 014 17.908 010
SN 2008gp 1803.79              18.545 010 17.607 008 17.875 012 19.023 018 17.960 012
SN 2008gp 1806.72   20.533 084 18.805 012 17.734 008 17.883 012 19.323 021 18.180 012
SN 2008gp 1808.72   20.541 087 18.961 017 17.804 010 17.912 012 19.500 028 18.292 014
SN 2008gp 1809.69              19.035 028 17.867 010 17.922 012 19.534 041 18.388 018
SN 2008gp 1810.70   20.553 192 19.123 034 17.929 014 17.980 017 19.572 068 18.404 024
SN 2008gp 1813.62   20.805 203 19.317 041 18.101 014 18.105 014 19.906 084 18.593 029
SN 2008hv 1806.78   17.130 012 16.352 007 16.379 008 16.705 008 16.492 007 16.327 006
SN 2008hv 1808.80   16.186 010 15.647 004 15.728 004 15.984 006 15.769 005 15.691 005
SN 2008hv 1809.78   15.903 008 15.406 005 15.494 008 15.739 010 15.530 005 15.465 006
SN 2008hv 1810.79   15.698 008 15.208 006 15.295 007 15.558 008 15.342 006 15.296 005
SN 2008hv 1813.78   15.408 014 14.889 005 15.012 005 15.394 006 15.006 006 14.959 005
SN 2008hv 1817.76   15.420 010 14.788 006 14.870 007 15.531 008 14.909 006 14.822 006
SN 2008hv 1818.76   15.495 010 14.798 005 14.861 007 15.540 008 14.938 006 14.826 007
SN 2008hv 1827.75   16.430 010 15.310 005 15.440 004 16.248 007 15.585 004 15.250 004
SN 2008hv 1830.73   16.918 010 15.589 007 15.602 008 16.325 008 15.963 006 15.454 007
SN 2008hv 1831.76   17.092 010 15.703 006 15.631 007 16.305 008 16.100 005 15.508 005
